number,id,node_id,title,state,description,creator_login,creator_id,open_issues,closed_issues,created_at,updated_at,closed_at,due_on,url,html_url,labels_url
1,12804521,MI_kwDOOhN35c4Aw2Gp,Release 1,open,,regnaer,25492603,2,0,2025-04-28T18:32:26Z,2025-05-01T17:43:08Z,,2025-05-30T07:00:00Z,https://api.github.com/repos/Regnaer-Org/TestingWorkflowsOrg/milestones/1,https://github.com/Regnaer-Org/TestingWorkflowsOrg/milestone/1,https://api.github.com/repos/Regnaer-Org/TestingWorkflowsOrg/milestones/1/labels
2,12804523,MI_kwDOOhN35c4Aw2Gr,Release 2,open,,regnaer,25492603,0,0,2025-04-28T18:32:33Z,2025-04-29T00:38:17Z,,2025-07-01T07:00:00Z,https://api.github.com/repos/Regnaer-Org/TestingWorkflowsOrg/milestones/2,https://github.com/Regnaer-Org/TestingWorkflowsOrg/milestone/2,https://api.github.com/repos/Regnaer-Org/TestingWorkflowsOrg/milestones/2/labels
3,12804524,MI_kwDOOhN35c4Aw2Gs,Release 3,open,"this is release 3 and some more info.
Only a test.",regnaer,25492603,4,0,2025-04-28T18:32:39Z,2025-05-05T18:15:05Z,,2025-08-30T07:00:00Z,https://api.github.com/repos/Regnaer-Org/TestingWorkflowsOrg/milestones/3,https://github.com/Regnaer-Org/TestingWorkflowsOrg/milestone/3,https://api.github.com/repos/Regnaer-Org/TestingWorkflowsOrg/milestones/3/labels
4,12804532,MI_kwDOOhN35c4Aw2G0,Release 4,open,this is release 4 and some more info.,regnaer,25492603,9,0,2025-04-28T18:34:14Z,2025-05-05T18:14:53Z,,2025-11-07T08:00:00Z,https://api.github.com/repos/Regnaer-Org/TestingWorkflowsOrg/milestones/4,https://github.com/Regnaer-Org/TestingWorkflowsOrg/milestone/4,https://api.github.com/repos/Regnaer-Org/TestingWorkflowsOrg/milestones/4/labels
